"HB091","2023/24","1","2023-09-12 00:00:00","Inledning","","1","TALMANNEN","TALMANNEN","","","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","1","Yasmine Bladelius (S)","S","0996640018922","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","10","Alexander Christiansson (SD)","SD","0279488554424","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","100","Martina Johansson (C)","C","033935884729","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","101","Dan Hovskär (KD)","KD","0635943298419","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","102","Johan Hultberg (M)","M","069309987221","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","103","Dan Hovskär (KD)","KD","0635943298419","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","104","Johan Hultberg (M)","M","069309987221","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","105","Dan Hovskär (KD)","KD","0635943298419","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","106","Ulrika Westerlund (MP)","MP","0469084171710","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","107","Dan Hovskär (KD)","KD","0635943298419","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","108","Ulrika Westerlund (MP)","MP","0469084171710","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","109","Dan Hovskär (KD)","KD","0635943298419","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","11","Yasmine Bladelius (S)","S","0996640018922","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","110","Mona Olin (SD)","SD","0345062474310","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","111","Leonid Yurkovskiy (SD)","SD","0966063008623","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","112","Eric Westroth (SD)","SD","010643534813","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","113","Alexander Christiansson (SD)","SD","0279488554424","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","114","Ulrika Westerlund (MP)","MP","0469084171710","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","115","Alexander Christiansson (SD)","SD","0279488554424","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","116","Ulrika Westerlund (MP)","MP","0469084171710","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","117","Alexander Christiansson (SD)","SD","0279488554424","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","118","Michael Rubbestad (SD)","SD","0694917698222","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","119","Annika Hirvonen (MP)","MP","0819601620927","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","12","Alexander Christiansson (SD)","SD","0279488554424","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","120","Hans Eklind (KD)","KD","0494242537816","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","121","Magnus Jacobsson (KD)","KD","0977592683711","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","122","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","123","Magnus Jacobsson (KD)","KD","0977592683711","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","124","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","125","Magnus Jacobsson (KD)","KD","0977592683711","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","126","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","127","Sofia Amloh (S)","S","0521260619925","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","128","Ilona Szatmári Waldau (V)","V","0229350341619","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","129","Mikael Oscarsson (KD)","KD","0973782197017","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","13","Yasmine Bladelius (S)","S","0996640018922","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","130","Annika Hirvonen (MP)","MP","0819601620927","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","131","Mikael Oscarsson (KD)","KD","0973782197017","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","132","Annika Hirvonen (MP)","MP","0819601620927","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","133","Mikael Oscarsson (KD)","KD","0973782197017","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","134","Lars Andersson (SD)","SD","0254021157518","HB01KU7","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","135","Peter Hedberg (S)","S","0589561178823","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","136","Lars Andersson (SD)","SD","0254021157518","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","137","Peter Hedberg (S)","S","0589561178823","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","138","Lars Andersson (SD)","SD","0254021157518","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","139","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","14","Michael Rubbestad (SD)","SD","0694917698222","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","140","Lars Andersson (SD)","SD","0254021157518","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","141","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","142","Lars Andersson (SD)","SD","0254021157518","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","143","Peter Hedberg (S)","S","0589561178823","HB01KU7","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","144","Lars Engsund (M)","M","0764422217512","HB01KU7","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","145","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","146","Lars Engsund (M)","M","0764422217512","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","147","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","148","Lars Engsund (M)","M","0764422217512","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","149","Peter Hedberg (S)","S","0589561178823","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","15","Yasmine Bladelius (S)","S","0996640018922","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","150","Lars Engsund (M)","M","0764422217512","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","151","Peter Hedberg (S)","S","0589561178823","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","152","Lars Engsund (M)","M","0764422217512","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","153","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","154","Lars Engsund (M)","M","0764422217512","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","155","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","156","Lars Engsund (M)","M","0764422217512","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","157","Samuel Gonzalez Westling (V)","V","0939158389321","HB01KU7","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","158","Gudrun Brunegård (KD)","KD","0304498908019","HB01KU7","N"
